date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:24	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2022%20Jan%202019%2016:59:25%20GMT	http://studio96.webflow.io/robots.txt		(from )
22:29:25	15443/15443	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Jan%202019%2016:59:25%20GMT	http://studio96.webflow.io/	C:/My%20Web%20Sites/web1/studio96.webflow.io/index.html	(from )
22:29:26	52258/52258	---M-Z	200	added ('OK')	text/css	etag:%22bd4b9f45f4803048c5f933e8e55c5067%22	https://daks2k3a4ib2z.cloudfront.net/567875ddd74390fe094fcbb6/css/studio96.webflow.0a903518c.css	C:/My%20Web%20Sites/web1/daks2k3a4ib2z.cloudfront.net/567875ddd74390fe094fcbb6/css/studio96.webflow.0a903518c.css	(from http://studio96.webflow.io/)
22:29:28	17698/17698	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	C:/My%20Web%20Sites/web1/ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	(from http://studio96.webflow.io/)
22:29:28	5267/5267	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2011%20Jun%202014%2019:22:53%20GMT	https://daks2k3a4ib2z.cloudfront.net/0globals/modernizr-2.7.1.js	C:/My%20Web%20Sites/web1/daks2k3a4ib2z.cloudfront.net/0globals/modernizr-2.7.1.js	(from http://studio96.webflow.io/)
22:29:29	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://daks2k3a4ib2z.cloudfront.net/img/webclip.png	C:/My%20Web%20Sites/web1/daks2k3a4ib2z.cloudfront.net/img/webclip.png	(from http://studio96.webflow.io/)
22:29:30	8842/8842	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Jan%202019%2016:59:30%20GMT	http://studio96.webflow.io/all-projects	C:/My%20Web%20Sites/web1/studio96.webflow.io/all-projects.html	(from http://studio96.webflow.io/)
22:29:30	8167/8167	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Jan%202019%2016:59:31%20GMT	http://studio96.webflow.io/team-members	C:/My%20Web%20Sites/web1/studio96.webflow.io/team-members.html	(from http://studio96.webflow.io/)
22:29:30	8968/8968	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Jan%202019%2016:59:31%20GMT	http://studio96.webflow.io/blog	C:/My%20Web%20Sites/web1/studio96.webflow.io/blog.html	(from http://studio96.webflow.io/)
22:29:31	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2022%20Jan%202019%2016:59:31%20GMT	http://studio96.webflow.io/pricing	C:/My%20Web%20Sites/web1/studio96.webflow.io/pricing	(from http://studio96.webflow.io/)
22:29:31	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2022%20Jan%202019%2016:59:32%20GMT	http://studio96.webflow.io/contact	C:/My%20Web%20Sites/web1/studio96.webflow.io/contact	(from http://studio96.webflow.io/)
22:29:33	8728/8728	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Jan%202019%2016:59:33%20GMT	http://studio96.webflow.io/projects/task-app-creation	C:/My%20Web%20Sites/web1/studio96.webflow.io/projects/task-app-creation.html	(from http://studio96.webflow.io/)
22:29:34	8927/8927	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Jan%202019%2016:59:35%20GMT	http://studio96.webflow.io/projects/ecosysta-improvements	C:/My%20Web%20Sites/web1/studio96.webflow.io/projects/ecosysta-improvements.html	(from http://studio96.webflow.io/)
22:29:55	233938/233938	---M--	200	added ('OK')	image/png	etag:%22dd9a5cca603caa62548c36d74af2ef8c%22	http://uploads.webflow.com/567875ddd74390fe094fcbb6/567881a5b561b1c110c5d87b_stroke-pink.png	C:/My%20Web%20Sites/web1/uploads.webflow.com/567875ddd74390fe094fcbb6/567881a5b561b1c110c5d87b_stroke-pink.png	(from http://studio96.webflow.io/)
22:29:56	179684/179684	---M--	200	added ('OK')	image/jpeg	etag:%226699753d4b98931ebfddbdb5deaba38e%22	https://daks2k3a4ib2z.cloudfront.net/567911245e1bd6e130868400/5679130bc23895ea308e2392_Jennifer-3screens.jpg	C:/My%20Web%20Sites/web1/daks2k3a4ib2z.cloudfront.net/567911245e1bd6e130868400/5679130bc23895ea308e2392_Jennifer-3screens.jpg	(from http://studio96.webflow.io/)
22:29:56	172974/172974	---M--	200	added ('OK')	image/jpeg	etag:%221e454e55f5d2368a20b9cc534b8476a3%22	https://daks2k3a4ib2z.cloudfront.net/567911245e1bd6e130868400/567912db73fcd8c14a26be5a_forest.jpg	C:/My%20Web%20Sites/web1/daks2k3a4ib2z.cloudfront.net/567911245e1bd6e130868400/567912db73fcd8c14a26be5a_forest.jpg	(from http://studio96.webflow.io/)
22:29:57	8852/8852	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Jan%202019%2016:59:57%20GMT	http://studio96.webflow.io/projects/spectrum-branding	C:/My%20Web%20Sites/web1/studio96.webflow.io/projects/spectrum-branding.html	(from http://studio96.webflow.io/)
22:29:57	198356/198356	---M--	200	added ('OK')	image/jpeg	etag:%2255c715466a3eb780a469c83c5833a22f%22	https://daks2k3a4ib2z.cloudfront.net/567911245e1bd6e130868400/56791274c23895ea308e238f_Phone-Ui-Wide.jpg	C:/My%20Web%20Sites/web1/daks2k3a4ib2z.cloudfront.net/567911245e1bd6e130868400/56791274c23895ea308e238f_Phone-Ui-Wide.jpg	(from http://studio96.webflow.io/)
